video_id,time,distance
aaju.mp4,0,2.5
aava.mp4,30,4.0
aava.mp4,40,3.0
aava.mp4,50,9.0
abhg.mp4,2,3.5
abhg.mp4,4,4.0
abhg.mp4,6,5.0
abhg.mp4,8,6.0
abhg.mp4,10,8.0
abhg.mp4,12,7.0
abhg.mp4,14,7.5
abhg.mp4,16,8.5
abhg.mp4,18,10.0
abhg.mp4,20,10.0
abhg.mp4,22,10.0
abhg.mp4,24,8.0
abhg.mp4,26,8.0
abhg.mp4,28,9.0
abhg.mp4,38,8.0
abhg.mp4,42,9.0
abjx.mp4,0,2.5
absl.avi,0,1.5
absl.avi,2,1.5
absl.avi,4,1.375
absl.avi,6,1.375
absl.avi,8,1.5
absl.avi,10,1.375
absl.avi,12,1.375
absl.avi,14,1.375
acdy.mp4,10,6.0
acdy.mp4,40,4.0
aceu.mp4,0,3.5
acgp.mp4,0,2.0
acgp.mp4,2,1.5
acgp.mp4,4,1.5
acgp.mp4,6,1.5
acgp.mp4,8,1.5
acgp.mp4,10,1.5
acgp.mp4,34,1.0
acgp.mp4,36,1.6666666666666667
acgp.mp4,38,1.5
acgp.mp4,40,1.5
acgp.mp4,42,1.5
acgp.mp4,44,1.5
acgp.mp4,46,1.5
acgp.mp4,48,1.0
acgp.mp4,50,1.5
acgp.mp4,52,1.5
acgp.mp4,54,1.5
acgp.mp4,56,1.0
acgp.mp4,58,1.0
acii.mp4,0,4.0
acii.mp4,2,4.0
acii.mp4,4,4.0
acii.mp4,6,4.0
acii.mp4,8,4.5
acjm.mp4,10,9.0
acjm.mp4,40,6.0
adfm.mp4,0,2.0
adfm.mp4,2,3.5
adfm.mp4,4,3.0
adfm.mp4,6,3.0
adfm.mp4,8,2.5
adwm.avi,0,1.5
adwm.avi,2,1.5
adwm.avi,4,1.5
adwm.avi,6,1.5
adwm.avi,8,9.0
adwm.avi,10,1.5
adwm.avi,12,1.5
adwm.avi,14,2.0
adxk.avi,0,2.0
adxk.avi,2,1.375
adxk.avi,4,2.25
adxk.avi,6,2.25
adxk.avi,8,2.25
adxk.avi,10,2.25
adxk.avi,12,2.25
adxk.avi,14,2.25
adxn.avi,0,1.0
adxn.avi,2,9.0
adxn.avi,4,9.0
adxn.avi,6,9.0
adxn.avi,8,9.0
adxn.avi,10,4.0
adxn.avi,12,9.0
adxn.avi,14,9.0
aexm.mp4,0,6.0
aexm.mp4,10,9.0
aexm.mp4,20,10.0
afkc.mp4,0,3.0
afkc.mp4,2,1.5
agku.avi,0,1.5
agku.avi,2,2.5
agku.avi,4,1.5
agku.avi,6,1.5
agku.avi,8,1.5
agku.avi,10,1.5
agku.avi,12,1.5
agku.avi,14,1.5
agvr.mp4,0,2.5
agvr.mp4,2,3.0
ahlg.avi,1,2.25
ahlg.avi,3,2.833333333333333
ahlg.avi,5,2.6
ahlg.avi,7,3.083333333333333
ahlg.avi,9,3.0
ahlg.avi,11,3.0
ahlg.avi,13,1.5
ahlg.avi,15,1.5
ahlg.avi,17,1.5
ahlg.avi,19,1.5
ahlg.avi,21,3.5
ahlg.avi,23,1.5
ahlg.avi,25,9.0
ahlg.avi,27,1.5
ahlg.avi,29,3.5
ahlg.avi,31,1.5
ahlg.avi,33,1.5
ahpy.avi,0,1.5
ahpy.avi,4,1.25
ahpy.avi,6,1.375
ahpy.avi,8,1.375
ahpy.avi,10,1.375
ahpy.avi,12,1.375
ahpy.avi,14,1.375
aiii.avi,0,1.5
aiii.avi,2,1.5
aiii.avi,4,1.5
aiii.avi,6,1.5
aiii.avi,8,1.5
aiii.avi,10,1.5
aiii.avi,12,1.5
aiii.avi,14,1.5
aiii.avi,22,1.5
aiii.avi,24,1.5
aiii.avi,26,1.5
aiii.avi,28,1.5
aiii.avi,30,1.5
aiii.avi,32,1.5
aiii.avi,34,1.5
aiii.avi,36,1.5
aiii.avi,38,1.5
aiii.avi,40,1.5
aiii.avi,42,1.5
aiii.avi,44,1.5
aiii.avi,46,1.5
aiii.avi,48,1.5
aiii.avi,50,1.5
aiii.avi,52,1.5
aiiu.avi,0,1.5
aiiu.avi,2,9.0
aiiu.avi,4,9.0
aiiu.avi,6,1.5
aiiu.avi,8,1.5
aiiu.avi,10,1.5
aiiu.avi,12,9.0
aiiu.avi,14,9.0
ajfu.mp4,0,10.0
ajfu.mp4,2,11.0
ajfu.mp4,4,11.0
ajfu.mp4,6,10.0
ajfu.mp4,8,10.5
ajfu.mp4,10,10.0
ajfu.mp4,12,10.0
ajfu.mp4,14,11.666666666666668
ajfu.mp4,16,11.5
ajfu.mp4,18,9.5
ajfu.mp4,20,11.0
ajfu.mp4,22,11.0
ajfu.mp4,24,11.0
ajfu.mp4,26,10.333333333333332
ajfu.mp4,28,10.333333333333332
ajfu.mp4,30,9.5
ajfu.mp4,32,10.5
ajfu.mp4,34,10.0
ajfu.mp4,36,9.0
ajfu.mp4,38,9.0
ajfu.mp4,40,9.0
ajfu.mp4,42,10.5
ajfu.mp4,44,9.0
ajfu.mp4,46,9.0
ajfu.mp4,48,9.0
ajfu.mp4,50,9.0
ajfu.mp4,52,9.0
ajfu.mp4,54,9.0
ajfu.mp4,56,9.0
ajfu.mp4,58,9.0
amkc.mp4,0,8.0
amox.mp4,10,2.0
andz.mp4,0,5.5
anfk.mp4,0,2.0
anfk.mp4,8,3.0
anfk.mp4,12,5.0
anfk.mp4,56,3.0
anfk.mp4,58,3.0
anvn.mp4,0,6.0
anvn.mp4,2,5.0
anvn.mp4,4,4.0
anvn.mp4,6,4.0
aoaq.mp4,4,10.333333333333332
aoaq.mp4,6,9.0
aoaq.mp4,8,9.0
aoaq.mp4,10,9.0
aoaq.mp4,12,11.666666666666668
aoaq.mp4,14,11.0
aoaq.mp4,16,11.0
aoaq.mp4,18,10.333333333333332
aoaq.mp4,20,12.0
aoaq.mp4,22,12.0
aoaq.mp4,24,9.0
aoaq.mp4,26,9.0
apab.mp4,0,1.5
apab.mp4,2,1.5
apab.mp4,4,1.5
apab.mp4,6,1.5
apab.mp4,8,1.5
apab.mp4,10,1.5
apab.mp4,12,1.5
apab.mp4,14,1.5
apab.mp4,16,1.5
apab.mp4,18,2.0
apab.mp4,20,1.5
aqln.mp4,0,9.0
aqtc.mp4,32,9.0
aqtc.mp4,34,9.0
aqtc.mp4,36,9.0
aqtc.mp4,38,9.0
aqtc.mp4,40,9.0
aqtc.mp4,42,9.0
aqtc.mp4,44,9.0
aqtc.mp4,46,9.0
aqtc.mp4,48,9.0
aqtc.mp4,50,9.0
aqtc.mp4,52,9.0
aqtc.mp4,54,9.0
aqtc.mp4,56,9.0
aqtc.mp4,58,9.0
aram.mp4,0,3.0
aram.mp4,2,4.0
aram.mp4,4,6.5
aram.mp4,6,8.0
aram.mp4,8,7.5
aram.mp4,10,8.5
aram.mp4,12,10.333333333333332
aram.mp4,14,9.0
ascj.avi,0,9.0
ascj.avi,2,9.0
ascj.avi,4,9.0
ascj.avi,6,9.0
ascj.avi,8,9.0
ascj.avi,10,1.5
ascj.avi,12,9.0
ascj.avi,14,9.0
ascj.avi,16,9.0
ascj.avi,18,9.0
ascj.avi,20,9.0
ascj.avi,22,9.0
ascj.avi,24,9.0
ascj.avi,26,9.0
ascj.avi,28,9.0
ascj.avi,30,1.5
ascj.avi,32,9.0
ascj.avi,34,9.0
ascj.avi,36,9.0
ascj.avi,38,9.0
ascj.avi,40,9.0
ascj.avi,42,9.0
ascj.avi,44,9.0
ascj.avi,46,9.0
ascj.avi,48,9.0
ascj.avi,50,9.0
ascj.avi,52,9.0
ascj.avi,54,9.0
ascj.avi,56,9.0
ascj.avi,58,9.0
assg.avi,20,3.0
aswp.mp4,0,9.0
aswp.mp4,2,9.0
aswp.mp4,4,9.0
aswp.mp4,6,9.0
aswp.mp4,8,9.0
aswp.mp4,10,9.0
aswp.mp4,12,9.0
aswp.mp4,14,9.0
aswp.mp4,16,9.0
aswp.mp4,18,9.0
aswp.mp4,20,9.0
aswp.mp4,22,9.0
aswp.mp4,24,9.0
aswp.mp4,26,9.0
aswp.mp4,28,9.0
aswp.mp4,30,9.0
aswp.mp4,32,9.0
auii.avi,0,2.0
auzw.mp4,0,3.0
auzw.mp4,2,3.0
auzw.mp4,4,3.0
auzw.mp4,6,3.0
auzw.mp4,8,3.0
auzw.mp4,10,3.0
auzw.mp4,12,4.0
auzw.mp4,14,4.0
auzw.mp4,16,4.0
auzw.mp4,18,3.0
auzw.mp4,20,4.0
auzw.mp4,22,3.0
auzw.mp4,24,3.0
auzw.mp4,26,3.0
auzw.mp4,28,3.5
avmr.avi,1,1.0
avmr.avi,3,1.0
avmr.avi,5,1.0
avmr.avi,7,1.0
avmr.avi,17,1.0
avmw.avi,0,2.5
avmw.avi,2,9.0
avmw.avi,8,9.0
avmw.avi,10,9.0
avmw.avi,12,9.0
avmw.avi,14,9.0
avnv.avi,0,1.5
avnv.avi,2,9.0
avnv.avi,4,9.0
avym.mp4,0,7.0
avym.mp4,2,8.0
avym.mp4,4,8.0
avym.mp4,6,7.5
avym.mp4,8,8.0
avym.mp4,10,7.0
avym.mp4,12,7.0
avym.mp4,14,7.0
avym.mp4,16,6.0
avym.mp4,18,5.5
avym.mp4,20,6.0
avym.mp4,22,6.0
avym.mp4,24,5.5
avym.mp4,26,5.5
avym.mp4,28,6.0
avym.mp4,30,6.0
avym.mp4,32,5.0
avym.mp4,34,5.0
avym.mp4,36,5.0
avym.mp4,38,5.0
avym.mp4,40,5.0
avym.mp4,42,5.0
avym.mp4,44,5.0
avym.mp4,46,5.0
avym.mp4,48,5.5
avym.mp4,50,5.0
avym.mp4,52,5.5
awis.avi,1,1.5
awis.avi,3,1.5
awqd.mp4,50,9.0
awqd.mp4,52,11.666666666666668
awqd.mp4,58,9.0
axie.mp4,0,5.0
axie.mp4,2,3.5
axie.mp4,4,3.5
axie.mp4,6,3.5
axie.mp4,8,3.0
axie.mp4,10,2.5
axie.mp4,12,2.0
axie.mp4,14,2.0
axie.mp4,16,1.5
axie.mp4,18,1.5
axie.mp4,20,1.5
axie.mp4,22,1.5
axie.mp4,24,1.5
axie.mp4,26,1.5
axie.mp4,28,1.5
axie.mp4,30,2.0
axie.mp4,32,2.5
axie.mp4,34,8.5
axie.mp4,36,8.0
axie.mp4,38,8.0
axkk.avi,2,3.5
axkk.avi,4,9.0
axkk.avi,6,3.5
axkk.avi,8,3.5
axkk.avi,10,9.0
axkk.avi,12,3.0
axkk.avi,14,3.5
axkk.avi,16,9.0
axkk.avi,18,9.0
axkk.avi,20,9.0
axkk.avi,22,9.0
axkk.avi,24,9.0
axkk.avi,26,9.0
axqc.mp4,0,6.5
axqc.mp4,2,6.0
axqc.mp4,4,4.5
axqc.mp4,6,4.0
axqc.mp4,8,3.0
axqc.mp4,10,2.5
axux.mp4,0,2.5
axux.mp4,2,2.5
axux.mp4,4,2.5
axux.mp4,6,4.0
axux.mp4,8,3.5
axux.mp4,10,4.0
axux.mp4,12,3.5
axux.mp4,14,5.0
axux.mp4,16,5.0
axux.mp4,18,5.0
axux.mp4,20,5.5
axux.mp4,22,5.5
axux.mp4,24,6.5
axux.mp4,26,7.0
axux.mp4,28,7.5
axux.mp4,30,8.0
axux.mp4,32,8.0
axux.mp4,34,8.0
axux.mp4,36,8.0
axux.mp4,38,8.0
axux.mp4,40,8.0
axux.mp4,42,8.0
aymg.mp4,4,3.5
aymg.mp4,6,3.5
aymg.mp4,8,3.5
ayxq.mp4,0,2.5
ayxq.mp4,10,6.0
ayxq.mp4,50,9.0
azsb.mp4,40,9.0
azsb.mp4,50,4.0
baos.mp4,0,4.0
batr.mp4,8,9.0
batr.mp4,10,9.0
batr.mp4,12,9.0
bazv.mp4,22,2.5
bazv.mp4,24,7.5
bazv.mp4,26,7.666666666666667
bazv.mp4,28,7.5
bazv.mp4,30,7.666666666666667
bazv.mp4,32,8.2
bazv.mp4,34,9.0
bazv.mp4,36,7.5
bazv.mp4,38,8.0
bbtn.avi,1,4.0
bbtn.avi,3,4.0
bbtn.avi,13,2.5
bbxb.mp4,0,3.5
bbxb.mp4,10,9.0
bbxb.mp4,30,8.0
bbxb.mp4,40,9.0
bbxb.mp4,50,9.0
bcfm.avi,0,1.5
bcfm.avi,2,9.0
bcfm.avi,4,1.5
bcfm.avi,6,1.5
bcfm.avi,8,9.0
bcfm.avi,10,9.0
bcfm.avi,12,1.5
bcno.mp4,0,3.0
bcno.mp4,2,3.5
bcno.mp4,4,3.5
bcno.mp4,6,3.0
bcno.mp4,8,3.0
bcno.mp4,10,3.0
bcno.mp4,12,3.0
bcno.mp4,14,3.0
bcno.mp4,36,6.0
bcno.mp4,38,5.0
bcno.mp4,40,5.0
bcno.mp4,42,5.5
bcno.mp4,44,6.0
bcno.mp4,46,6.0
bcno.mp4,48,6.0
bcno.mp4,50,6.0
bcno.mp4,52,6.0
bcno.mp4,54,6.0
bcno.mp4,56,6.0
bcno.mp4,58,6.5
bdjn.mp4,30,9.0
bdjn.mp4,40,9.0
beci.mp4,0,2.5
bemg.mp4,0,4.0
besn.mp4,0,9.0
beyl.avi,2,1.5
beyl.avi,3,1.0
bfue.mp4,0,7.0
bfue.mp4,2,7.5
bfue.mp4,4,7.5
bfue.mp4,6,7.5
bfue.mp4,8,8.0
bfue.mp4,10,8.0
bfue.mp4,12,8.0
bfue.mp4,14,8.5
bfue.mp4,16,8.5
bfue.mp4,18,8.5
bfue.mp4,20,9.0
bfue.mp4,22,9.0
bfue.mp4,24,8.5
bfue.mp4,26,10.5
bfue.mp4,28,8.5
bfue.mp4,30,10.333333333333332
bfue.mp4,32,11.0
bfue.mp4,34,11.0
bfue.mp4,36,11.666666666666668
bfue.mp4,38,12.25
bfue.mp4,40,10.0
bfue.mp4,42,9.0
bfue.mp4,44,9.0
bfue.mp4,46,9.0
bfue.mp4,48,12.25
bfue.mp4,50,9.0
bfue.mp4,52,9.0
bfue.mp4,54,9.0
bfue.mp4,56,9.0
bggv.mp4,0,2.0
bggv.mp4,2,1.5
bggv.mp4,4,1.5
bggv.mp4,6,1.5
bggv.mp4,8,2.5
bggv.mp4,10,1.5
bggv.mp4,12,2.0
bggv.mp4,14,2.0
bggv.mp4,22,5.0
bggv.mp4,24,4.0
bggv.mp4,26,5.5
bggv.mp4,28,5.0
bggv.mp4,30,5.0
bgkq.avi,12,2.5
bgkq.avi,14,9.0
bgkq.avi,15,1.5
bgsh.mp4,10,9.0
bgsh.mp4,20,9.0
bgti.mp4,0,1.0
bgti.mp4,2,1.5
bhfe.mp4,0,10.0
bhfe.mp4,10,10.0
bhnj.mp4,0,3.5
bhnj.mp4,2,3.5
bhnj.mp4,4,6.0
bhua.avi,0,1.5
bhzj.avi,1,1.375
bhzj.avi,3,1.8
bhzj.avi,5,1.375
bhzj.avi,7,1.375
bhzj.avi,9,1.375
bhzj.avi,11,1.5
bils.mp4,0,3.5
bjbn.mp4,10,9.0
bjbn.mp4,20,9.0
bjbn.mp4,30,9.0
bjbn.mp4,40,9.0
bjbn.mp4,50,9.0
bjnu.avi,1,1.5
bjzk.mp4,0,1.5
bkfv.avi,0,3.5
bkfv.avi,2,3.0
bkfv.avi,4,2.5
bkfv.avi,6,3.5
bkfv.avi,8,3.0
bkfv.avi,10,2.5
bkfv.avi,12,3.0
bkfv.avi,14,4.5
bkgv.mp4,0,8.0
bkgv.mp4,2,8.0
bkgv.mp4,4,7.5
bkgv.mp4,6,8.0
bkgv.mp4,8,9.5
bkgv.mp4,10,8.0
bkgv.mp4,12,8.0
bkgv.mp4,14,8.0
bkpt.mp4,0,2.0
bkpt.mp4,2,2.0
bkpt.mp4,4,2.5
bkpt.mp4,6,2.5
bkpt.mp4,8,2.5
bkpt.mp4,10,2.5
bkpt.mp4,12,2.5
bkpt.mp4,14,2.0
bkpt.mp4,16,2.0
bkpt.mp4,18,2.0
bkpt.mp4,20,2.0
bkpt.mp4,22,2.5
bkpt.mp4,24,2.5
bkpt.mp4,26,2.5
bkpt.mp4,28,2.5
bkpt.mp4,30,2.5
bkpt.mp4,32,2.0
bkpt.mp4,34,2.0
bkpt.mp4,36,2.0
bkpt.mp4,38,2.0
bkpt.mp4,40,2.0
bkpt.mp4,42,2.0
bkpt.mp4,44,2.5
bkpt.mp4,46,2.5
bkpt.mp4,48,2.5
bkpt.mp4,50,2.5
bkpt.mp4,52,2.5
bkpt.mp4,54,2.5
bkpt.mp4,56,2.5
bkpt.mp4,58,2.5
bkzl.mp4,0,8.0
bles.avi,0,9.0
blfu.mp4,16,9.0
blfu.mp4,18,9.0
blfw.mp4,0,7.5
blfw.mp4,2,7.5
blfw.mp4,4,7.5
blfw.mp4,6,8.0
blfw.mp4,8,7.5
blfw.mp4,10,6.0
blfw.mp4,12,5.0
blfw.mp4,14,5.5
blfw.mp4,16,9.0
blqt.mp4,0,8.0
blqt.mp4,2,8.0
blqt.mp4,4,8.0
blqt.mp4,6,8.0
blqt.mp4,8,8.0
blqt.mp4,10,8.0
blqt.mp4,12,8.0
blqt.mp4,14,8.0
blqt.mp4,16,8.0
blqt.mp4,18,8.0
blqt.mp4,20,8.0
blqt.mp4,22,8.0
blqt.mp4,24,9.0
blsr.mp4,0,8.5
blyt.mp4,0,4.5
blza.mp4,0,9.0
bmwh.mp4,2,5.0
bmwh.mp4,16,4.0
bmwh.mp4,18,4.0
bmwh.mp4,24,5.0
bmwh.mp4,26,5.0
bmwh.mp4,28,5.0
bmwh.mp4,30,5.0
bmwh.mp4,32,5.0
bmwh.mp4,34,5.0
bmwh.mp4,36,5.0
bmwh.mp4,38,5.0
bmwh.mp4,40,5.0
bmwh.mp4,42,5.0
bmwh.mp4,44,5.0
bmwh.mp4,46,5.0
bmwh.mp4,48,4.0
bnbh.mp4,0,5.5
bnlk.mp4,0,9.0
bnlk.mp4,2,9.0
bnlk.mp4,4,9.0
bnlk.mp4,6,9.0
bnlk.mp4,8,9.0
bnlk.mp4,10,2.5
bnlk.mp4,12,4.0
bnlk.mp4,14,4.0
bnlk.mp4,16,4.0
bnlk.mp4,18,7.0
bnqn.mp4,0,5.5
bnqn.mp4,10,5.5
bnqn.mp4,20,5.5
bnqn.mp4,30,5.0
bopx.mp4,0,8.5
bopx.mp4,10,9.0
bopx.mp4,20,9.0
bopx.mp4,30,9.0
bopx.mp4,40,9.0
bouy.mp4,0,8.0
bpdt.avi,21,2.5
bpdt.avi,23,1.5
bpdt.avi,25,1.0
bpdt.avi,27,1.5
bpdt.avi,29,1.0
bpdt.avi,31,1.5
bpdt.avi,33,1.0
bpdt.avi,35,1.5
bpdt.avi,37,9.0
bpdt.avi,39,1.5
bpdt.avi,41,1.5
bpdt.avi,43,1.5
bpdt.avi,45,2.0
bpdt.avi,47,1.0
bpdt.avi,49,1.0
bpdt.avi,51,4.0
bpdt.avi,53,1.0
bpdt.avi,55,2.0
bpdt.avi,57,2.5
bpdt.avi,59,2.0
bpez.mp4,0,3.0
bpez.mp4,40,9.0
bpez.mp4,50,9.0
bpgo.mp4,0,2.0
bpgo.mp4,4,1.5
bpgo.mp4,6,6.0
bpgo.mp4,8,6.0
bpgo.mp4,10,2.0
bpia.mp4,2,9.0
bpia.mp4,4,9.0
bpia.mp4,6,9.0
bpia.mp4,8,9.0
bpia.mp4,10,7.5
bpzb.mp4,0,1.5
bpzb.mp4,2,1.0
bpzb.mp4,4,1.0
bpzb.mp4,6,1.0
bpzb.mp4,8,1.0
bpzb.mp4,10,1.0
bpzb.mp4,12,1.0
bpzb.mp4,14,1.0
bqbr.mp4,0,1.5
bqbr.mp4,2,1.5
bqbr.mp4,30,9.0
bqbr.mp4,32,9.0
bqbr.mp4,34,9.0
bqbr.mp4,36,9.0
bqbr.mp4,38,9.0
bqbr.mp4,40,9.0
bqbr.mp4,42,9.0
bqbr.mp4,44,9.0
bqbr.mp4,46,9.0
bqbr.mp4,48,9.0
bqbr.mp4,50,9.0
bqbr.mp4,52,9.0
bqbr.mp4,54,9.0
bqbr.mp4,56,9.0
bqlb.avi,1,9.0
bqlb.avi,3,2.0
bqlb.avi,5,9.0
bqlb.avi,7,9.0
bqmm.mp4,0,1.5
bqmm.mp4,2,1.5
bqmm.mp4,4,1.5
bqmm.mp4,6,1.5
bqmm.mp4,8,2.5
bqmm.mp4,10,4.0
bqmm.mp4,12,2.5
bqmm.mp4,14,2.5
bqmm.mp4,16,2.5
bqzv.mp4,30,9.0
bqzv.mp4,40,9.0
bqzv.mp4,50,9.0
brek.mp4,30,8.0
brjk.mp4,40,9.0
brjk.mp4,50,9.0
bsku.avi,0,1.375
bsku.avi,2,2.5
bsku.avi,4,2.5
bsku.avi,6,2.5
bsku.avi,8,2.5
bsku.avi,10,9.0
bsku.avi,12,1.5
bsku.avi,14,1.5
bstr.mp4,0,5.5
bstr.mp4,10,4.5
bstr.mp4,20,6.5
bstr.mp4,30,6.5
bstr.mp4,40,6.5
bstr.mp4,50,5.0
bsys.mp4,0,1.5
bsys.mp4,2,1.5
bsys.mp4,4,1.0
bsys.mp4,6,1.25
bsys.mp4,8,1.0
bsys.mp4,10,1.0
bsys.mp4,12,1.25
bsys.mp4,14,1.0
bsys.mp4,16,1.5
bsys.mp4,18,1.0
bsys.mp4,20,1.0
bsys.mp4,22,1.0
bsys.mp4,24,1.5
bsys.mp4,26,1.5
bsys.mp4,28,1.0
bsys.mp4,30,1.0
bsys.mp4,32,1.0
bsys.mp4,42,1.0
bsys.mp4,44,1.5
bsys.mp4,46,1.375
bsys.mp4,48,1.5
bsys.mp4,50,1.0
bsys.mp4,52,1.5
bsys.mp4,54,1.5
bsys.mp4,58,9.0
btox.mp4,0,6.0
btox.mp4,20,6.0
btsp.mp4,0,9.0
btsp.mp4,2,9.0
btsp.mp4,4,9.0
btsp.mp4,6,9.0
btsp.mp4,8,9.0
btsp.mp4,10,9.0
bunk.mp4,0,6.0
bvbm.avi,0,1.5
bvbm.avi,6,9.0
bvbm.avi,8,9.0
bvbm.avi,10,1.0
bvbm.avi,12,9.0
bvbm.avi,14,9.0
bvvl.mp4,0,4.0
bvvl.mp4,2,3.5
bvvl.mp4,4,3.5
bvvl.mp4,6,3.5
bvvl.mp4,8,3.5
bvvl.mp4,10,3.5
bwec.mp4,0,12.0
bwec.mp4,10,9.0
bwee.mp4,0,8.0
bwee.mp4,2,7.5
bwee.mp4,4,8.0
bwee.mp4,6,7.5
bwee.mp4,8,6.0
bwee.mp4,10,6.0
bwee.mp4,12,6.5
bwee.mp4,14,7.5
bwee.mp4,16,6.0
bwee.mp4,18,5.5
bwee.mp4,20,5.5
bwee.mp4,22,5.0
bwee.mp4,24,5.0
bwee.mp4,26,5.0
bwee.mp4,28,4.0
bwee.mp4,30,3.0
bwee.mp4,32,2.5
bwxa.avi,11,1.0
bwxa.avi,13,1.0
bwxa.avi,15,1.0
bwxa.avi,17,1.375
bwxa.avi,19,1.0
bwxa.avi,21,1.0
bwxa.avi,23,1.0
bwxa.avi,25,1.0
bwxa.avi,27,1.5
bwxa.avi,29,1.25
bwxa.avi,31,1.0
bxcv.mp4,0,3.5
byfw.mp4,0,2.5
byfw.mp4,10,4.666666666666666
byfw.mp4,20,10.0
byfw.mp4,40,9.0
byfw.mp4,50,4.666666666666666
bymy.mp4,0,5.0
bymy.mp4,2,5.0
bymy.mp4,4,5.0
bynl.mp4,0,3.5
bynl.mp4,10,4.0
bynl.mp4,20,4.5
bynl.mp4,30,4.0
cafa.mp4,0,7.5
cafa.mp4,2,7.5
cafa.mp4,4,6.0
cahf.avi,0,1.5
cahf.avi,2,9.0
cahf.avi,4,9.0
cahf.avi,6,9.0
cahf.avi,8,9.0
cahf.avi,10,9.0
cahf.avi,12,9.0
cahf.avi,14,9.0
caik.mp4,0,7.0
caik.mp4,2,8.0
caoc.mp4,0,9.0
capf.mp4,0,2.5
capf.mp4,2,9.0
capf.mp4,4,9.0
capf.mp4,6,9.0
cavu.mp4,0,4.0
cbme.mp4,50,9.0
cbrm.mp4,0,4.0
cbrm.mp4,2,5.0
cbrm.mp4,4,6.5
cbrm.mp4,6,6.5
cbrm.mp4,8,6.0
cbrm.mp4,10,6.0
cbrm.mp4,12,6.0
cbrm.mp4,14,6.0
ccbs.avi,0,9.0
ccwn.mp4,0,12.333333333333332
ccwn.mp4,10,9.0
ccwn.mp4,20,10.333333333333332
ccwn.mp4,30,9.0
ccwn.mp4,40,9.0
ccwn.mp4,50,9.0
ccyj.avi,0,2.0
ccyj.avi,2,2.0
ccyj.avi,4,2.0
ccyj.avi,16,2.0
ccyj.avi,18,2.0
ccyj.avi,20,2.0
ccyj.avi,22,2.0
ccyj.avi,24,2.0
ccyj.avi,26,2.0
ccyj.avi,28,2.0
cdag.mp4,0,3.5
cdag.mp4,2,5.0
cdag.mp4,4,5.0
cdag.mp4,6,6.0
cdag.mp4,8,9.0
cdag.mp4,10,9.0
cdag.mp4,12,9.0
cdag.mp4,14,9.0
cdag.mp4,16,9.0
cdag.mp4,18,10.5
cdag.mp4,20,9.0
cdag.mp4,22,9.0
cdag.mp4,24,9.0
cdag.mp4,26,9.0
cdag.mp4,28,9.0
cdag.mp4,30,9.0
cdag.mp4,32,9.0
cdag.mp4,34,9.0
cdag.mp4,36,9.0
cdag.mp4,38,9.0
cdag.mp4,40,9.0
cdag.mp4,42,9.0
cdag.mp4,44,9.0
cdag.mp4,46,9.0
cdag.mp4,48,9.0
cdag.mp4,50,9.0
cdag.mp4,52,9.0
cdag.mp4,54,9.0
cdag.mp4,56,9.0
cdag.mp4,58,9.0
cdgc.mp4,0,10.0
cdgc.mp4,2,9.0
cdgc.mp4,4,9.0
cdgc.mp4,6,9.0
cdgc.mp4,8,12.0
cdgc.mp4,10,9.0
cdgc.mp4,12,9.0
cdgc.mp4,14,9.0
cdpq.mp4,0,9.0
cdxa.avi,0,9.0
cdxa.avi,2,9.0
cdxa.avi,4,9.0
cdxa.avi,6,9.0
cdxa.avi,8,9.0
cdxa.avi,10,1.5
cdxa.avi,12,1.5
cdxa.avi,14,1.5
cdxa.avi,16,9.0
cdxa.avi,18,9.0
cdxa.avi,20,9.0
cdxa.avi,22,1.5
cdxa.avi,24,1.5
cdxa.avi,26,9.0
ceeo.mp4,0,9.0
ceeo.mp4,2,9.0
ceeo.mp4,4,9.0
cegw.mp4,0,9.0
cegw.mp4,2,9.0
cegw.mp4,4,9.0
cegw.mp4,6,9.5
cegw.mp4,8,9.0
cegw.mp4,10,9.0
cegw.mp4,12,9.5
cegw.mp4,14,9.0
cfaq.mp4,0,7.0
cfkb.mp4,0,9.0
cfkb.mp4,2,8.0
cfkb.mp4,4,8.0
cfkb.mp4,14,10.0
cfkb.mp4,16,9.0
cfkb.mp4,18,8.0
cfkb.mp4,20,9.0
cfkb.mp4,22,9.0
cfkb.mp4,24,9.0
cfkb.mp4,26,9.0
cfkb.mp4,28,9.0
cfkb.mp4,30,9.0
cfkb.mp4,32,9.0
cfkb.mp4,34,9.0
cfkb.mp4,36,9.0
cfkb.mp4,38,9.0
cfmg.mp4,0,3.0
cfmg.mp4,2,3.5
cfmg.mp4,4,3.5
cfxq.avi,0,9.0
cfxq.avi,2,1.5
cgcf.mp4,0,1.5
cgcf.mp4,2,1.5
cgcf.mp4,4,2.5
cgcf.mp4,6,2.5
cgcf.mp4,8,3.5
cgcf.mp4,10,4.0
cgcf.mp4,12,3.5
cgcf.mp4,14,4.0
cgcf.mp4,16,4.5
cgcf.mp4,18,6.0
cgcf.mp4,20,7.0
